"","Basal_1","Basal_2","Basal_3","Luminal_1","Luminal_2","Luminal_3"
"ENSG00000070061",1121.06211963517,916.564868863178,1248.83937215426,888.278021777414,630.65365797283,816.756073988257
"ENSG00000070081",2283.31342257963,3250.81648597886,2555.19108381562,10630.4248554574,7730.28498939423,5526.24437684877
"ENSG00000070087",2996.96079426432,2675.97091061576,2937.23733911281,2775.49496366815,1863.29489855609,2180.37481632756
"ENSG00000070159",6337.76172745828,7863.52881514898,7364.66047509718,6034.5082669121,6094.19528074755,6199.46163585394
"ENSG00000070182",139.685056440166,245.081475804719,263.940558095102,270.172103144421,331.252426409971,325.489425525023
"ENSG00000070190",2968.30744935352,6266.51415777108,3663.33062538999,4168.22717065249,7825.83857393557,5257.36180793679
"ENSG00000070214",1741.58612035976,1481.4477826082,1488.13178474631,2317.89719487372,1887.71414793887,1771.99677933343
"ENSG00000070269",1402.22306657243,1483.44031493182,1305.32470559873,1784.53160379525,2147.83223919029,1931.70898192025
"ENSG00000070366",2305.69884829119,3268.7492768914,2478.1656291186,2468.43589441176,3096.99784563425,2399.72638570312
"ENSG00000070367",10237.3028864129,7605.49587924076,8451.23288935639,9882.71608291751,7684.63161011337,8223.15675977039
"ENSG00000070371",273.102193681093,295.891050056917,322.479903664833,338.961310218093,308.956590016992,464.984893607176
"ENSG00000070388",10.7450043415512,30.8842510160419,14.378084876776,11.9633403606386,15.9255974235563,14.1517141532619
"ENSG00000070404",11785.4789286247,10180.8439075139,7352.33640234566,4543.0785019525,3408.07784864105,4236.41671545147
"ENSG00000070413",9032.9669831307,10152.9484549833,8810.68501127579,8975.49610556909,9248.5252771066,9439.19334022568
"ENSG00000070423",4559.46350893156,4296.89595587705,5049.78880993625,2394.66196218782,2510.93586044738,3137.63719512321
"ENSG00000070444",719.91529088393,2129.02078778327,754.849456030739,695.867630977143,1574.51073194227,740.943319595783
"ENSG00000070476",2712.21817921321,2390.04252217692,2828.37469647436,2402.63752242825,2316.64357187999,2846.5162182561
"ENSG00000070495",3900.43657598308,3671.24080626175,4761.2001063381,3295.90026935593,3400.64590317672,4246.5250827038
"ENSG00000070501",7553.73805211049,4492.16412359138,4808.44238521894,11534.6539977157,6571.96320345423,7702.5758462754
"ENSG00000070526",275.788444766481,193.275635390714,173.564024583939,1224.24849690535,899.265401183479,986.5766438274
"ENSG00000070540",776.326563677074,1526.27975988955,483.719855497249,3541.14874674902,3796.66242577582,2013.58675666412
"ENSG00000070601",76.1104474193209,169.365247507326,74.9714425717605,76.7647673140975,168.811332689697,77.8344278429404
"ENSG00000070610",5802.30234443764,5962.6529784197,5105.2471373181,6244.86366825333,6097.38040023226,6101.41047350634
"ENSG00000070614",5253.41170599007,6857.2999917231,5807.71928415487,2647.88599982134,3624.66597360141,3403.48725385948
"ENSG00000070669",13185.9111611402,12165.4061018351,12428.8273699102,10493.8433863401,7203.67856792197,10785.627858236
"ENSG00000070718",841.692006754843,1179.57913558044,1129.70666888954,784.59573865188,850.426902417907,795.528502758365
"ENSG00000070729",37.6075151954292,18.9290570743482,23.6211394404177,11.9633403606386,6.37023896942252,16.1733876037279
"ENSG00000070731",1027.0433316466,1325.03399520438,1169.75990533199,253.224037633516,460.780618788229,462.96322015671
"ENSG00000070756",26925.1900458704,26644.1422313879,26903.4508165731,17928.0624754469,23788.5957248135,18789.4330486308
"ENSG00000070759",455.767267487463,927.523796643064,460.098716056831,810.516309433263,1675.37284895812,1087.6603163507
"ENSG00000070761",2939.65410444271,1739.48071851642,3523.65780087274,2088.59983796148,1480.01885389583,2550.34105776284
"ENSG00000070770",5853.34111506001,5772.36614151441,5923.7709692317,4542.08155692244,4947.55226625149,4751.94344532029
"ENSG00000070778",2687.14650241626,2240.60259790575,3391.17401879388,2518.28314591442,2479.08466560026,2989.04419651396
"ENSG00000070785",4404.55636300753,2133.0058524305,3504.14468568283,2317.89719487372,994.818985724817,1891.27551291093
"ENSG00000070808",13.431255426939,24.9066540451951,14.378084876776,13.957230420745,29.7277818573051,15.1625508784949
"ENSG00000070814",5890.05321322698,4229.14985687412,5103.19312519285,2340.82693056495,1876.03537649493,2768.68179041316
"ENSG00000070831",3144.70460396065,2623.16880403994,5195.62367082926,2738.60799755618,2826.26268943379,6094.33461642971
"ENSG00000070882",3785.82319633987,5728.53043039486,4349.37067522473,1478.46947956892,2311.33503940547,1510.19006749809
"ENSG00000070950",1209.70840545297,879.703020876289,1192.35403870978,1196.33403606386,1013.92970263308,1201.88486630203
"ENSG00000070961",8758.96937242115,6415.95408204225,8533.39337436654,9498.89224634702,8703.86984522097,9473.5617888836
"ENSG00000071051",4487.83014665455,5832.14211122287,3532.90085543638,6204.9858670512,8988.40718585518,5572.74286620948
"ENSG00000071054",37132.0487533155,22872.2785427835,33078.8382711484,27371.125800111,19080.9891264103,27782.8473930288
"ENSG00000071073",3239.61880897768,2851.31375509393,1903.04223404756,11862.6489126032,8903.47066626288,7819.83290640242
"ENSG00000071082",49969.6426903838,44233.2213181046,41837.1459732302,37930.7675584346,38531.452113047,32120.3477810035
"ENSG00000071127",39480.7276189729,43055.6347148478,39586.9756900148,33278.0251031763,33880.1159588737,33352.5577490626
"ENSG00000071189",7993.38781308562,6656.05422703793,5454.42919861123,9704.26292253799,9008.57960925835,7414.48737958399
